Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,72.40,72.40,72.40,72.40,,,,
2026-06-15,72.96,72.96,72.96,72.96,,,,
2026-06-16,76.38,76.38,76.38,76.38,,,,
2026-06-17,73.48,73.48,73.48,73.48,,,,
2026-06-18,74.35,74.35,74.35,74.35,,,,
2026-06-19,70.16,70.16,70.16,70.16,,,,
2026-06-22,73.38,73.38,73.38,73.38,,,,
2026-06-23,77.24,77.24,77.24,77.24,,,,
2026-06-24,77.51,77.51,77.51,77.51,,,,
2026-06-25,73.79,73.79,73.79,73.79,,,,
2026-06-26,75.61,75.61,75.61,75.61,,,,
2026-06-29,71.79,71.79,71.79,71.79,,,,
2026-06-30,72.01,72.01,72.01,72.01,,,,
2026-07-01,73.42,73.42,73.42,73.42,,,,
2026-07-02,73.13,73.13,73.13,73.13,,,,
2026-07-03,75.91,75.91,75.91,75.91,,,,
2026-07-06,72.84,72.84,72.84,72.84,,,,
2026-07-07,71.25,71.25,71.25,71.25,,,,
2026-07-08,72.56,72.56,72.56,72.56,,,,
2026-07-09,73.12,73.12,73.12,73.12,,,,
2026-07-10,72.94,72.94,72.94,72.94,,,,
2026-07-13,75.74,75.74,75.74,75.74,,,,
2026-07-14,74.42,74.42,74.42,74.42,,,,
2026-07-15,72.47,72.47,72.47,72.47,,,,
2026-07-16,72.66,72.66,72.66,72.66,,,,
2026-07-17,67.34,67.34,67.34,67.34,,,,
2026-07-21,70.48,70.48,70.48,70.48,,,,
2026-07-22,73.18,73.18,73.18,73.18,,,,
2026-07-23,72.11,72.11,72.11,72.11,,,,
2026-07-24,70.99,70.99,70.99,70.99,,,,
2026-07-27,68.52,68.52,68.52,68.52,,,,
2026-07-28,64.24,64.24,64.24,64.24,,,,
2026-07-29,67.65,67.65,67.65,67.65,,,,
2026-07-30,68.99,68.99,68.99,68.99,,,,
2026-07-31,58.20,58.20,58.20,58.20,,,,
2026-08-03,69.05,69.05,69.05,69.05,,,,
2026-08-04,67.93,67.93,67.93,67.93,,,,
2026-08-05,67.33,67.33,67.33,67.33,,,,
2026-08-06,64.18,64.18,64.18,64.18,,,,
