Date,Open,High,Low,Close,Volume,TradingValue,UpLimit,LowLimit
2026-06-12,34.06,34.06,34.06,34.06,,,,
2026-06-15,36.46,36.46,36.46,36.46,,,,
2026-06-16,39.17,39.17,39.17,39.17,,,,
2026-06-17,35.42,35.42,35.42,35.42,,,,
2026-06-18,34.81,34.81,34.81,34.81,,,,
2026-06-19,33.76,33.76,33.76,33.76,,,,
2026-06-22,34.08,34.08,34.08,34.08,,,,
2026-06-23,42.37,42.37,42.37,42.37,,,,
2026-06-24,44.50,44.50,44.50,44.50,,,,
2026-06-25,36.44,36.44,36.44,36.44,,,,
2026-06-26,41.14,41.14,41.14,41.14,,,,
2026-06-29,38.73,38.73,38.73,38.73,,,,
2026-06-30,38.22,38.22,38.22,38.22,,,,
2026-07-01,35.55,35.55,35.55,35.55,,,,
2026-07-02,39.34,39.34,39.34,39.34,,,,
2026-07-03,44.57,44.57,44.57,44.57,,,,
2026-07-06,39.30,39.30,39.30,39.30,,,,
2026-07-07,36.65,36.65,36.65,36.65,,,,
2026-07-08,39.02,39.02,39.02,39.02,,,,
2026-07-09,39.46,39.46,39.46,39.46,,,,
2026-07-10,38.50,38.50,38.50,38.50,,,,
2026-07-13,40.91,40.91,40.91,40.91,,,,
2026-07-14,39.97,39.97,39.97,39.97,,,,
2026-07-15,35.58,35.58,35.58,35.58,,,,
2026-07-16,37.63,37.63,37.63,37.63,,,,
